case_id	category	monomer_length_bp	k	n_copies	divergence	mutation_rate	indel_rate	at_copy	event_type	gc_content	insertion_kind	insertion_length_bp	length_copies	second_k	second_monomer_bp	shift_offset_bp	slot	source_slots	start_copy	wobble_amplitude	wobble_period_rows
st_L0100_n0200_m00_i00	simple_tr	100	1	200	0.0	0.0	0.0														
st_L0100_n0200_m00_i01	simple_tr	100	1	200	0.0	0.0	0.01														
st_L0100_n0200_m01_i00	simple_tr	100	1	200	0.0	0.01	0.0														
st_L0100_n0200_m01_i01	simple_tr	100	1	200	0.0	0.01	0.01														
st_L0100_n0200_m02_i00	simple_tr	100	1	200	0.0	0.02	0.0														
st_L0100_n0200_m02_i01	simple_tr	100	1	200	0.0	0.02	0.01														
st_L0100_n0200_m05_i00	simple_tr	100	1	200	0.0	0.05	0.0														
st_L0100_n0200_m05_i01	simple_tr	100	1	200	0.0	0.05	0.01														
st_L0100_n0200_m10_i00	simple_tr	100	1	200	0.0	0.1	0.0														
st_L0100_n0200_m10_i01	simple_tr	100	1	200	0.0	0.1	0.01														
st_L0100_n0500_m00_i00	simple_tr	100	1	500	0.0	0.0	0.0														
st_L0100_n0500_m00_i01	simple_tr	100	1	500	0.0	0.0	0.01														
st_L0100_n0500_m01_i00	simple_tr	100	1	500	0.0	0.01	0.0														
st_L0100_n0500_m01_i01	simple_tr	100	1	500	0.0	0.01	0.01														
st_L0100_n0500_m02_i00	simple_tr	100	1	500	0.0	0.02	0.0														
st_L0100_n0500_m02_i01	simple_tr	100	1	500	0.0	0.02	0.01														
st_L0100_n0500_m05_i00	simple_tr	100	1	500	0.0	0.05	0.0														
st_L0100_n0500_m05_i01	simple_tr	100	1	500	0.0	0.05	0.01														
st_L0100_n0500_m10_i00	simple_tr	100	1	500	0.0	0.1	0.0														
st_L0100_n0500_m10_i01	simple_tr	100	1	500	0.0	0.1	0.01														
st_L0100_n1000_m00_i00	simple_tr	100	1	1000	0.0	0.0	0.0														
st_L0100_n1000_m00_i01	simple_tr	100	1	1000	0.0	0.0	0.01														
st_L0100_n1000_m01_i00	simple_tr	100	1	1000	0.0	0.01	0.0														
st_L0100_n1000_m01_i01	simple_tr	100	1	1000	0.0	0.01	0.01														
st_L0100_n1000_m02_i00	simple_tr	100	1	1000	0.0	0.02	0.0														
st_L0100_n1000_m02_i01	simple_tr	100	1	1000	0.0	0.02	0.01														
st_L0100_n1000_m05_i00	simple_tr	100	1	1000	0.0	0.05	0.0														
st_L0100_n1000_m05_i01	simple_tr	100	1	1000	0.0	0.05	0.01														
st_L0100_n1000_m10_i00	simple_tr	100	1	1000	0.0	0.1	0.0														
st_L0100_n1000_m10_i01	simple_tr	100	1	1000	0.0	0.1	0.01														
st_L0100_n2000_m00_i00	simple_tr	100	1	2000	0.0	0.0	0.0														
st_L0100_n2000_m00_i01	simple_tr	100	1	2000	0.0	0.0	0.01														
st_L0100_n2000_m01_i00	simple_tr	100	1	2000	0.0	0.01	0.0														
st_L0100_n2000_m01_i01	simple_tr	100	1	2000	0.0	0.01	0.01														
st_L0100_n2000_m02_i00	simple_tr	100	1	2000	0.0	0.02	0.0														
st_L0100_n2000_m02_i01	simple_tr	100	1	2000	0.0	0.02	0.01														
st_L0100_n2000_m05_i00	simple_tr	100	1	2000	0.0	0.05	0.0														
