case_id	array_length	rank	period	peak_height	score	score2	score2_norm	background
hor_0002	11681	1	896	871.0000	0.0807977737	0.7924124431	0.2133387020	18.1621
hor_0002	11681	2	900	734.0000	0.0681143281	0.6684591123	0.1799671378	18.2261
hor_0002	11681	3	903	394.0000	0.0365729138	0.3590941593	0.0966777875	18.2163
hor_0002	11681	4	299	317.0000	0.0278632328	0.2291472735	0.0616925975	21.4499
hor_0002	11681	5	302	213.0000	0.0187269210	0.1542799551	0.0415363056	21.9872
hor_0002	11681	6	597	199.0000	0.0179619099	0.1656373172	0.0445940123	20.3277
hor_0002	11681	7	602	121.0000	0.0109264945	0.1008910945	0.0271625911	20.9842
hor_0002	11681	8	599	104.0000	0.0093888237	0.0866251574	0.0233218178	20.5669
hor_0002	11681	9	1801	69.0000	0.0069873418	0.0755651838	0.0203441760	13.5534
hor_0002	11681	10	1798	69.0000	0.0069852197	0.0755254337	0.0203334742	13.7631
hor_0002	11681	11	1796	55.0000	0.0055668016	0.0601803077	0.0162021544	13.9665
hor_0002	11681	12	296	61.0000	0.0053602812	0.0440049785	0.0118473215	20.9971
hor_0002	11681	13	1794	38.0000	0.0038453754	0.0415645253	0.0111902860	14.2179
hor_0002	11681	14	123	29.0000	0.0025101705	0.0174268952	0.0046917880	22.9478
hor_0002	11681	15	2698	15.0000	0.0016707507	0.0190426731	0.0051267988	11.4604
hor_0002	11681	16	1803	16.0000	0.0016205814	0.0175285059	0.0047191443	13.4985
