case_id	array_length	rank	period	peak_height	score	score2	score2_norm	background
tr_0002	12001	7	54	63	0.0052754982	0.0303598989	0.0076704652	23.3581
tr_0002	12001	8	59	52	0.0043562034	0.0256259897	0.0064744373	22.8606
tr_0002	12001	9	61	45	0.0037704231	0.0223613892	0.005649632	22.8477
tr_0002	12001	6	104	72	0.0060544904	0.040567748	0.0102494906	21.7184
tr_0002	12001	11	164	37	0.0031271129	0.0230078959	0.0058129727	23.381
tr_0002	12001	4	186	74	0.0062658764	0.0472394371	0.0119351009	21.93
tr_0002	12001	3	214	74	0.0062807673	0.0486223525	0.0122844961	20.5463
tr_0002	12001	13	236	33	0.0028061224	0.0221196616	0.0055885592	23.4218
tr_0002	12001	5	296	72	0.0061538462	0.050519713	0.0127638666	21.4304
tr_0002	12001	15	339	27	0.0023162049	0.0194680295	0.0049186212	21.0348
tr_0002	12001	12	341	33	0.0028314028	0.0238223699	0.0060187506	21.2723
tr_0002	12001	10	346	39	0.0033476395	0.0282360945	0.0071338834	21.9794
tr_0002	12001	1	400	4360	0.3759917213	3.2500183673	0.8211210693	21.9064
tr_0002	12001	2	800	139	0.0124151483	0.1197299045	0.0302499051	20.2146
tr_0002	12001	14	803	31	0.0027695881	0.0267244654	0.0067519685	20.3895
